1/beta	E	M	C	X
1.49477	-1758.54	0.987382	0.974959	0.160996	0.021621
1.49701	-1757.53	0.987002	0.974218	0.191974	0.0266753
1.49925	-1756.52	0.98663	0.973484	0.197521	0.027194
1.5015	-1756.03	0.986516	0.97326	0.203178	0.0276538
1.50376	-1754.83	0.98614	0.972523	0.216855	0.0303928
1.50602	-1755.6	0.986348	0.972925	0.182194	0.0253726
1.5083	-1754.84	0.986202	0.972633	0.173451	0.0235386
1.51057	-1753.42	0.985582	0.971421	0.206677	0.0290703
1.51286	-1752.86	0.985477	0.971214	0.204362	0.0293842
1.51515	-1753.28	0.985643	0.971543	0.216913	0.030018
1.51745	-1754.47	0.98606	0.972359	0.197202	0.0266777
1.51976	-1752.78	0.985288	0.970845	0.209884	0.0313843
1.52207	-1752.7	0.985518	0.971291	0.199867	0.0267253
1.52439	-1751.33	0.984877	0.970037	0.220675	0.0321173
1.52672	-1749.75	0.984436	0.969171	0.237842	0.0332347
1.52905	-1750.34	0.984628	0.969547	0.219215	0.0317339
1.53139	-1749.98	0.984464	0.969217	0.192365	0.0276595
1.53374	-1749.01	0.984208	0.968722	0.22527	0.0329618
1.5361	-1749.58	0.98438	0.96906	0.226519	0.0324203
1.53846	-1749.41	0.984319	0.968938	0.21222	0.0315149
1.54083	-1745.81	0.983139	0.966621	0.237282	0.0341226
1.54321	-1749.33	0.984108	0.968517	0.178243	0.0279903
1.5456	-1747.56	0.983701	0.967719	0.208178	0.03033
1.54799	-1747.09	0.983595	0.967518	0.230053	0.0339913
1.55039	-1748.06	0.983947	0.968204	0.20536	0.0306342
1.5528	-1746.49	0.983468	0.967265	0.221134	0.0317077
1.55521	-1743.08	0.982174	0.964726	0.228677	0.035118
1.55763	-1744.94	0.982848	0.966052	0.233388	0.0353701
1.56006	-1745.06	0.982881	0.966117	0.235425	0.0355157
1.5625	-1744.01	0.982539	0.965444	0.232196	0.0349613
1.56495	-1742.81	0.982217	0.964814	0.254637	0.0372288
1.5674	-1744.31	0.982602	0.965561	0.207622	0.0315201
1.56986	-1743.1	0.982339	0.965048	0.22492	0.0337457
1.57233	-1741.54	0.981683	0.963768	0.244311	0.0378985
1.5748	-1740.72	0.981378	0.963168	0.239089	0.0378735
1.57729	-1741.37	0.981644	0.963698	0.258953	0.0409801
1.57978	-1740.87	0.981524	0.963456	0.242384	0.0380195
1.58228	-1742.03	0.981857	0.964104	0.232948	0.0346237
1.58479	-1738.66	0.980741	0.961925	0.256836	0.040796
1.5873	-1738.21	0.98053	0.961511	0.25468	0.0411506
1.58983	-1737.4	0.980369	0.961197	0.259465	0.0409475
1.59236	-1737.64	0.980448	0.961347	0.249118	0.0386081
1.5949	-1736.85	0.98009	0.960652	0.254517	0.042406
1.59744	-1735.43	0.97962	0.959732	0.264486	0.0429424
1.6	-1735.32	0.979617	0.95972	0.250733	0.0399478
1.60256	-1733.73	0.979016	0.95855	0.26004	0.0434276
1.60514	-1735.55	0.979707	0.959906	0.274096	0.0445602
1.60772	-1733.92	0.979146	0.958808	0.274455	0.0452229
1.61031	-1731.73	0.978299	0.957147	0.252143	0.0430447
1.6129	-1731.63	0.978246	0.957044	0.259522	0.0433254
1.61551	-1733.01	0.978974	0.958467	0.267933	0.0424589
1.61812	-1730.75	0.978047	0.956655	0.263948	0.044166
1.62075	-1730.63	0.977921	0.956416	0.275529	0.0482363
1.62338	-1729.26	0.977404	0.955405	0.276058	0.0480026
1.62602	-1728.93	0.977335	0.955274	0.288244	0.0495486
1.62866	-1728.59	0.977253	0.955115	0.291441	0.0501677
1.63132	-1726.64	0.976471	0.953585	0.281869	0.0497226
1.63399	-1728.25	0.977269	0.955141	0.287677	0.0478426
1.63666	-1729.66	0.97757	0.955739	0.292228	0.0533011
